gutenberg_id,title,authors,languages,subjects,bookshelves,download_count,copyright
1079,"The life and opinions of Tristram Shandy, gentleman","Sterne, Laurence",en,"Experimental fiction, Fetus -- Fiction, Fiction -- Authorship -- Fiction","Best Books Ever Listings, Category: British Literature, Category: Classics of Literature",6544,false
12122,"The Monkey's Paw: The Lady of the Barge and Others, Part 2.","Jacobs, W. W. (William Wymark)",en,"Horror tales, Wishes -- Fiction","Category: Short Stories, Gothic Fiction",6491,false
16469,The Lives of the Poets of Great Britain and Ireland (1753) Volume II.,"Cibber, Theophilus",en,"Poets, English -- Biography -- Early works to 1800, Poets, Irish -- Biography -- Early works to 1800","Biographies, Category: Biographies, Category: History - British",6471,false
24029,冷眼观,"Wang, Junqing",zh,"Chinese fiction -- Qing dynasty, 1644-1912",Category: Novels,6470,false
25559,中國小說史略,"Lu, Xun",zh,Chinese fiction -- History and criticism,"Category: History - Other, Category: Literature - Other",6453,false
2638,The Idiot,"Dostoyevsky, Fyodor",en,"Historical fiction, Russia -- Social conditions -- 1801-1917 -- Fiction","Best Books Ever Listings, Category: Novels, Category: Russian Literature",6439,false
1874,The Railway Children,"Nesbit, E. (Edith)",en,"Country life -- England -- Fiction, England -- Fiction, Family life -- Fiction","Category: Adventure, Category: British Literature, Category: Children & Young Adult Reading",6391,false
27761,Hamlet,"Shakespeare, William",en,"Denmark -- Drama, Fathers -- Death -- Drama, Hamlet (Legendary character) -- Drama","Best Books Ever Listings, Category: British Literature, Category: Classics of Literature",6390,false
1404,The Federalist Papers,"Hamilton, Alexander, Jay, John, Madison, James",en,"Constitutional history -- United States -- Sources, Constitutional law -- United States","Category: Essays, Letters & Speeches, Category: History - American, Category: Politics",6374,false
398,The First Book of Adam and Eve,"Platt, Rutherford Hayes",en,"Adam (Biblical figure), Apocryphal books (Old Testament), Eve (Biblical figure)","Category: Mythology, Legends & Folklore, Category: Novels, Christianity",6369,false
77145,The history of witchcraft and demonology,"Summers, Montague",en,"Demonology, Demonology -- History, Witchcraft","",6367,false
1063,The Cask of Amontillado,"Poe, Edgar Allan",en,"Horror tales, American, Revenge -- Fiction","Category: American Literature, Category: Crime, Thrillers and Mystery, Category: Short Stories",6336,false
141,Mansfield Park,"Austen, Jane",en,"Adoptees -- Fiction, Children of the rich -- Fiction, Country homes -- Fiction","Category: British Literature, Category: Novels",6325,false
910,White Fang,"London, Jack",en,"Adventure stories, Canada, Northern -- Fiction, Wolfdogs -- Fiction","Adventure, Category: Adventure, Category: American Literature",6322,false
86,A Connecticut Yankee in King Arthur's Court,"Twain, Mark",en,"Americans -- Great Britain -- Fiction, Arthurian romances -- Adaptations, Britons -- Fiction","Arthurian Legends, Category: American Literature, Category: Classics of Literature",6317,false
834,The Memoirs of Sherlock Holmes,"Doyle, Arthur Conan",en,"Detective and mystery stories, English, Holmes, Sherlock (Fictitious character) -- Fiction, Private investigators -- England -- Fiction","Category: British Literature, Category: Crime, Thrillers and Mystery, Category: Short Stories",6317,false
10681,Roget's Thesaurus of English Words and Phrases,"Roget, Peter Mark",en,English language -- Synonyms and antonyms,"Category: Encyclopedias/Dictionaries/Reference, Category: Language & Communication",6291,false
26274,The Swiss Family Robinson,"Wyss, Johann David",en,"Family life -- Fiction, Islands -- Fiction, Survival -- Fiction","",6267,false
113,The Secret Garden,"Burnett, Frances Hodgson",en,"Gardens -- Juvenile fiction, Orphans -- Juvenile fiction, People with disabilities -- Juvenile fiction","Category: British Literature, Category: Children & Young Adult Reading, Category: Classics of Literature",6244,false
2500,Siddhartha,"Hesse, Hermann",en,"Brahmans -- Fiction, Buddhism -- Fiction, Buddhist philosophy -- Fiction","Category: German Literature, Category: Novels, Category: Philosophy & Ethics",6236,false
25282,The Jewish State,"Herzl, Theodor",en,"Herzl, Theodor, 1860-1904, Zionism, Zionists -- Austria -- Biography","Category: History - Modern (1750+), Category: Politics, Category: Religion/Spirituality",6209,false
6133,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar","Leblanc, Maurice",en,"Adventure stories, French -- Translations into English, Burglars -- Fiction, Lupin, Arsène (Fictitious character) -- Fiction","Category: Adventure, Category: Crime, Thrillers and Mystery, Category: French Literature",6189,false
52958,Revelations of Divine Love,"Julian, of Norwich",en,Devotional literature,"Category: British Literature, Category: Philosophy & Ethics, Category: Religion/Spirituality",6185,false
20051,Märchen der Gebrüder Grimm 2,"Grimm, Jacob, Grimm, Wilhelm",de,Fairy tales -- Germany,DE Kinderbuch,6184,false
13610,"Studies in the Psychology of Sex, Volume 1: The Evolution of Modesty; The Phenomena of Sexual Periodicity; Auto-Erotism","Ellis, Havelock",en,"Sex, Sex (Psychology)","Banned Books from Anne Haight's list, Category: Psychiatry/Psychology, Category: Sexuality & Erotica",6179,false
71860,"A memoir of Sir John Drummond Hay, P.C., K.C.B., G.C.M.G., sometime minister at the court of Morocco","Brooks, Louisa Annette Edla Drummond-Hay, Drummond-Hay, Alice Emily, Hay, John H. Drummond (John Hay Drummond)",en,"Diplomats -- Great Britain -- Biography, Diplomats -- Great Britain -- Correspondence, Great Britain -- Foreign relations -- Morocco","Category: Biographies, Category: History - British, Category: History - European",6140,false
25716,灵历集光,"Song, Shangjie",zh,"China -- Church history -- 20th century, Evangelists -- China -- Biography, Song, Shangjie, 1901-1944 -- Diaries","Category: Biographies, Category: History - Other, Category: Religion/Spirituality",6117,false
55201,The Republic of Plato,Plato,en,"Justice -- Early works to 1800, Political science -- Early works to 1800, Utopias -- Early works to 1800","Category: Classics of Literature, Category: Philosophy & Ethics",6102,false
19839,Emma,"Austen, Jane",en,"Bildungsromans, England -- Fiction, Fathers and daughters -- Fiction","",6093,false
11231,"Bartleby, the Scrivener: A Story of Wall-Street","Melville, Herman",en,"Copyists -- Fiction, New York (N.Y.) -- Fiction, Psychological fiction","Category: American Literature, Category: Short Stories",6090,false
